DBN,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
01M034,P.S. 034 FRANKLIN D. ROOSEVELT (01M034),Manhattan,D1,44,3,,3,,1,1,No,No,No
01M140,P.S. 140 NATHAN STRAUS (01M140),Manhattan,D1,56,9,0.16,3,,0,1,No,No,No
01M184,P.S. 184M SHUANG WEN (01M184),Manhattan,D1,112,79,0.71,29,0.37,0,0,No,No,No
01M188,P.S. 188 THE ISLAND SCHOOL (01M188),Manhattan,D1,49,3,,3,,1,1,No,No,No
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL (01M332),Manhattan,D1,70,10,0.14,3,,0,1,No,No,No
01M378,SCHOOL FOR GLOBAL LEADERS (01M378),Manhattan,D1,61,12,0.20,3,,0,1,No,No,No
01M450,EAST SIDE COMMUNITY SCHOOL (01M450),Manhattan,D1,104,16,0.15,3,,0,1,No,Yes,No
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL (01M539)",Manhattan,D1,135,116,0.86,76,0.66,0,0,Yes,Yes,Yes
01M839,TOMPKINS SQUARE MIDDLE SCHOOL (01M839),Manhattan,D1,113,33,0.29,8,0.24,0,0,No,No,No
02M104,J.H.S. 104 SIMON BARUCH (02M104),Manhattan,D2,344,196,0.57,45,0.23,0,0,No,No,No
02M114,EAST SIDE MIDDLE SCHOOL (02M114),Manhattan,D2,137,115,0.84,73,0.63,0,0,No,Yes,No
02M126,P.S. 126 JACOB AUGUST RIIS (02M126),Manhattan,D2,110,65,0.59,15,0.23,0,0,No,No,No
02M131,M.S. 131 (02M131),Manhattan,D2,110,40,0.36,3,,0,1,No,No,No
02M167,J.H.S. 167 ROBERT F. WAGNER (02M167),Manhattan,D2,420,227,0.54,73,0.32,0,0,No,No,No
02M177,YORKVILLE EAST MIDDLE SCHOOL (02M177),Manhattan,D2,73,37,0.51,3,,0,1,No,No,No
02M217,P.S./I.S. 217 ROOSEVELT ISLAND (02M217),Manhattan,D2,26,9,0.35,3,,0,1,No,No,No
02M225,ELLA BAKER SCHOOL (02M225),Manhattan,D2,28,3,,3,,1,1,No,No,Yes
02M255,M.S. 255 SALK SCHOOL OF SCIENCE (02M255),Manhattan,D2,125,104,0.83,72,0.69,0,0,No,No,No
02M260,THE CLINTON SCHOOL (02M260),Manhattan,D2,94,46,0.49,22,0.48,0,0,No,Yes,No
02M276,BATTERY PARK CITY SCHOOL (02M276),Manhattan,D2,85,52,0.61,18,0.35,0,0,No,No,No
02M289,I.S. 289 (02M289),Manhattan,D2,89,45,0.51,6,0.13,0,0,No,No,No
02M297,M.S. 297 (02M297),Manhattan,D2,297,99,0.33,28,0.28,0,0,No,No,No
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES (02M312),Manhattan,D2,179,169,0.94,117,0.69,0,0,No,No,No
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL (02M347),Manhattan,D2,15,6,0.40,3,,0,1,No,No,Yes
02M397,SPRUCE STREET SCHOOL (02M397),Manhattan,D2,54,30,0.56,9,0.30,0,0,No,No,No
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION (02M407),Manhattan,D2,71,17,0.24,3,,0,1,No,Yes,Yes
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL (02M408),Manhattan,D2,31,3,,3,,1,1,No,Yes,Yes
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL (02M413),Manhattan,D2,93,32,0.34,3,,0,1,No,Yes,Yes
02M422,QUEST TO LEARN (02M422),Manhattan,D2,46,7,0.15,3,,0,1,No,Yes,Yes
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE (02M442)",Manhattan,D2,25,17,0.68,3,,0,1,No,No,Yes
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL (02M896),Manhattan,D2,123,59,0.48,7,0.12,0,0,No,No,No
02M933,CITY KNOLL MIDDLE SCHOOL (02M933),Manhattan,D2,41,3,,3,,1,1,No,No,No
03M054,J.H.S. 054 BOOKER T. WASHINGTON (03M054),Manhattan,D3,262,219,0.84,126,0.58,0,0,No,No,No
03M076,P.S. 076 A. PHILIP RANDOLPH (03M076),Manhattan,D3,42,10,0.24,3,,0,1,No,No,No
03M149,P.S. 149 SOJOURNER TRUTH (03M149),Manhattan,D3,29,3,,3,,1,1,No,No,No
03M180,P.S. 180 HUGO NEWMAN (03M180),Manhattan,D3,49,10,0.20,3,,0,1,No,No,No
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS (03M191),Manhattan,D3,68,10,0.15,3,,0,1,No,No,No
03M243,M.S. 243 CENTER SCHOOL (03M243),Manhattan,D3,59,32,0.54,14,0.44,0,0,No,No,No
03M245,M.S. M245 THE COMPUTER SCHOOL (03M245),Manhattan,D3,123,62,0.50,14,0.23,0,0,No,No,No
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL (03M247),Manhattan,D3,74,20,0.27,3,,0,1,No,No,No
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL (03M250),Manhattan,D3,49,8,0.16,3,,0,1,No,No,No
03M256,LAFAYETTE ACADEMY (03M256),Manhattan,D3,49,14,0.29,3,,0,1,No,No,No
03M258,COMMUNITY ACTION SCHOOL - MS 258 (03M258),Manhattan,D3,83,9,0.11,3,,0,1,No,No,No
03M291,WEST END SECONDARY SCHOOL (03M291),Manhattan,D3,105,29,0.28,12,0.41,0,0,No,No,No
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN (03M333),Manhattan,D3,58,21,0.36,3,,0,1,No,No,No
03M334,THE ANDERSON SCHOOL (03M334),Manhattan,D3,60,55,0.92,45,0.82,0,0,Yes,No,Yes
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS (03M415),Manhattan,D3,25,3,,3,,1,1,No,No,No
03M421,WEST PREP ACADEMY (03M421),Manhattan,D3,64,16,0.25,3,,0,1,No,No,No
03M859,SPECIAL MUSIC SCHOOL (03M859),Manhattan,D3,12,7,0.58,3,,0,1,No,Yes,Yes
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL (03M860),Manhattan,D3,23,3,,3,,1,1,No,No,No
03M862,MOTT HALL II (03M862),Manhattan,D3,146,89,0.61,7,0.08,0,0,No,No,No
04M007,P.S. 007 SAMUEL STERN (04M007),Manhattan,D4,54,9,0.17,3,,0,1,No,No,No
04M012,TAG YOUNG SCHOLARS (04M012),Manhattan,D4,57,53,0.93,26,0.49,0,0,Yes,No,Yes
04M057,JAMES WELDON JOHNSON (04M057),Manhattan,D4,82,3,,3,,1,1,No,No,No
04M072,THE LEXINGTON ACADEMY (04M072),Manhattan,D4,66,7,0.11,3,,0,1,No,No,No
04M096,P.S. 096 JOSEPH LANZETTA (04M096),Manhattan,D4,53,3,,3,,1,1,No,No,No
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX (04M108),Manhattan,D4,62,10,0.16,3,,0,1,No,No,No
04M171,P.S. 171 PATRICK HENRY (04M171),Manhattan,D4,82,29,0.35,3,,0,1,No,No,No
04M206,P.S. 206 JOSE CELSO BARBOSA (04M206),Manhattan,D4,71,13,0.18,3,,0,1,No,No,No
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS (04M224),Manhattan,D4,61,20,0.33,3,,0,1,No,No,Yes
04M372,ESPERANZA PREPARATORY ACADEMY (04M372),Manhattan,D4,71,3,,3,,1,1,No,No,No
04M377,RENAISSANCE SCHOOL OF THE ARTS (04M377),Manhattan,D4,76,23,0.30,3,,0,1,No,No,No
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL (04M610),Manhattan,D4,49,3,,3,,1,1,No,No,No
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE (04M825),Manhattan,D4,97,21,0.22,3,,0,1,No,No,No
04M964,CENTRAL PARK EAST II (04M964),Manhattan,D4,54,3,,3,,1,1,No,No,No
05M046,P.S. 046 ARTHUR TAPPAN (05M046),Manhattan,D5,67,3,,3,,1,1,No,No,No
05M123,P.S. 123 MAHALIA JACKSON (05M123),Manhattan,D5,46,11,0.24,3,,0,1,No,No,No
05M129,P.S. 129 JOHN H. FINLEY (05M129),Manhattan,D5,44,3,,3,,1,1,No,No,No
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM (05M148),Manhattan,D5,34,6,0.18,3,,0,1,No,No,No
05M161,P.S. 161 PEDRO ALBIZU CAMPOS (05M161),Manhattan,D5,110,12,0.11,3,,0,1,No,No,No
05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS (05M286),Manhattan,D5,29,3,,3,,1,1,No,No,No
05M362,COLUMBIA SECONDARY SCHOOL (05M362),Manhattan,D5,99,20,0.20,15,0.75,0,0,No,No,No
05M499,FREDERICK DOUGLASS ACADEMY (05M499),Manhattan,D5,88,3,,3,,1,1,No,No,No
05M514,NEW DESIGN MIDDLE SCHOOL (05M514),Manhattan,D5,50,10,0.20,3,,0,1,No,No,No
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL (05M517),Manhattan,D5,51,19,0.37,3,,0,1,No,No,No
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (05M670),Manhattan,D5,56,7,0.13,3,,0,1,No,No,No
06M018,P.S. 018 PARK TERRACE (06M018),Manhattan,D6,53,12,0.23,3,,0,1,No,No,No
06M052,HAROLD O. LEVY SCHOOL (06M052),Manhattan,D6,99,9,0.09,3,,0,1,No,No,No
06M143,J.H.S. 143 ELEANOR ROOSEVELT (06M143),Manhattan,D6,90,14,0.16,3,,0,1,No,No,No
06M187,P.S./I.S. 187 HUDSON CLIFFS (06M187),Manhattan,D6,89,32,0.36,6,0.19,0,0,No,No,No
06M209,HAMILTON GRANGE MIDDLE SCHOOL (06M209),Manhattan,D6,112,25,0.22,3,,0,1,No,No,No
06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP (06M210),Manhattan,D6,59,10,0.17,3,,0,1,No,No,No
06M223,THE MOTT HALL SCHOOL (06M223),Manhattan,D6,92,77,0.84,3,,0,1,No,No,No
06M278,PAULA HEDBAVNY SCHOOL (06M278),Manhattan,D6,65,20,0.31,3,,0,1,No,No,No
06M293,CITY COLLEGE ACADEMY OF THE ARTS (06M293),Manhattan,D6,87,9,0.10,3,,0,1,No,No,No
06M311,AMISTAD DUAL LANGUAGE SCHOOL (06M311),Manhattan,D6,45,14,0.31,3,,0,1,No,No,No
06M319,M.S. 319 - MARIA TERESA (06M319),Manhattan,D6,108,3,,3,,1,1,No,No,No
06M322,MIDDLE SCHOOL 322 (06M322),Manhattan,D6,104,8,0.08,3,,0,1,No,No,No
06M324,M.S. 324 - PATRIA MIRABAL (06M324),Manhattan,D6,89,15,0.17,3,,0,1,No,No,No
06M328,COMMUNITY MATH & SCIENCE PREP (06M328),Manhattan,D6,56,6,0.11,3,,0,1,No,No,No
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS (06M346),Manhattan,D6,94,3,,3,,1,1,No,No,No
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL (06M348),Manhattan,D6,85,6,0.07,3,,0,1,No,No,No
06M349,HARBOR HEIGHTS (06M349),Manhattan,D6,44,3,,3,,1,1,No,No,No
06M366,WASHINGTON HEIGHTS ACADEMY (06M366),Manhattan,D6,55,16,0.29,3,,0,1,No,No,No
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL (06M528),Manhattan,D6,80,7,0.09,3,,0,1,No,No,No
07X005,P.S. 5 PORT MORRIS (07X005),Bronx,D7,81,3,,3,,1,1,No,No,No
07X029,P.S./M.S. 029 MELROSE SCHOOL (07X029),Bronx,D7,89,3,,3,,1,1,No,No,No
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON (07X031),Bronx,D7,84,12,0.14,3,,0,1,No,No,No
07X151,J.H.S. 151 LOU GEHRIG (07X151),Bronx,D7,61,3,,3,,1,1,No,No,No
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL (07X221),Bronx,D7,87,3,,3,,1,1,No,No,No
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223 (07X223),Bronx,D7,110,3,,3,,1,1,No,No,No
07X224,P.S./I.S. 224 (07X224),Bronx,D7,85,3,,3,,1,1,No,No,No
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA (07X296),Bronx,D7,69,11,0.16,3,,0,1,No,No,No
07X298,ACADEMY OF PUBLIC RELATIONS (07X298),Bronx,D7,79,27,0.34,3,,0,1,No,No,No
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY (07X343),Bronx,D7,101,23,0.23,3,,0,1,No,No,No
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE (07X500),Bronx,D7,49,9,0.18,3,,0,1,No,No,No
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS (07X551),Bronx,D7,66,3,,3,,1,1,No,No,No
07X584,I.S. 584 (07X584),Bronx,D7,80,6,0.08,3,,0,1,No,No,No
08X071,P.S. 071 ROSE E. SCALA (08X071),Bronx,D8,173,59,0.34,3,,0,1,No,No,No
08X101,M.S. X101 EDWARD R. BYRNE (08X101),Bronx,D8,160,86,0.54,17,0.20,0,0,No,No,No
08X123,J.H.S. 123 JAMES M. KIERAN (08X123),Bronx,D8,137,20,0.15,3,,0,1,No,No,No
08X131,J.H.S. 131 ALBERT EINSTEIN (08X131),Bronx,D8,160,18,0.11,3,,0,1,No,No,No
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS (08X269),Bronx,D8,87,3,,3,,1,1,No,No,No
08X301,M.S. 301 PAUL L. DUNBAR (08X301),Bronx,D8,59,23,0.39,3,,0,1,No,No,No
08X302,M.S. 302 LUISA DESSUS CRUZ (08X302),Bronx,D8,147,17,0.12,3,,0,1,No,No,No
08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE (08X337),Bronx,D8,153,43,0.28,3,,0,1,No,No,No
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS (08X367)",Bronx,D8,77,14,0.18,3,,0,1,No,No,No
08X371,URBAN INSTITUTE OF MATHEMATICS (08X371),Bronx,D8,127,40,0.31,3,,0,1,No,No,No
08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL (08X375),Bronx,D8,79,14,0.18,3,,0,1,No,No,No
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL (08X376),Bronx,D8,58,19,0.33,3,,0,1,No,No,No
08X424,THE HUNTS POINT SCHOOL (08X424),Bronx,D8,84,12,0.14,3,,0,1,No,No,No
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP (08X448),Bronx,D8,130,19,0.15,3,,0,1,No,No,No
08X467,MOTT HALL COMMUNITY SCHOOL (08X467),Bronx,D8,121,19,0.16,3,,0,1,No,No,No
08X562,BLUEPRINT MIDDLE SCHOOL (08X562),Bronx,D8,190,46,0.24,3,,0,1,No,No,No
09X004,P.S./M.S. 004 CROTONA PARK WEST (09X004),Bronx,D9,42,3,,3,,1,1,No,No,No
09X022,J.H.S. 022 JORDAN L. MOTT (09X022),Bronx,D9,126,21,0.17,3,,0,1,No,No,No
09X117,I.S. 117 JOSEPH H. WADE (09X117),Bronx,D9,118,3,,3,,1,1,No,No,No
09X128,MOTT HALL III (09X128),Bronx,D9,107,42,0.39,3,,0,1,No,No,No
09X215,KAPPA (09X215),Bronx,D9,101,20,0.20,3,,0,1,No,No,No
09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL (09X218),Bronx,D9,106,31,0.29,3,,0,1,No,No,No
09X219,I.S. 219 NEW VENTURE SCHOOL (09X219),Bronx,D9,112,3,,3,,1,1,No,No,No
09X229,I.S. 229 ROLAND PATTERSON (09X229),Bronx,D9,72,6,0.08,3,,0,1,No,No,No
09X231,EAGLE ACADEMY FOR YOUNG MEN (09X231),Bronx,D9,53,8,0.15,3,,0,1,No,No,No
09X232,I.S. 232 (09X232),Bronx,D9,147,8,0.05,3,,0,1,No,No,No
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE (09X241)",Bronx,D9,80,7,0.09,3,,0,1,No,No,No
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE (09X303),Bronx,D9,107,9,0.08,3,,0,1,No,No,No
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT (09X313),Bronx,D9,82,3,,3,,1,1,No,No,No
09X323,BRONX WRITING ACADEMY (09X323),Bronx,D9,95,9,0.09,3,,0,1,No,No,No
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING (09X324),Bronx,D9,58,3,,3,,1,1,No,No,No
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327 (09X327),Bronx,D9,98,9,0.09,3,,0,1,No,No,No
09X328,NEW MILLENNIUM BRONX ACADEMY OF THE ARTS (09X328),Bronx,D9,108,14,0.13,3,,0,1,No,No,No
09X339,I.S. 339 (09X339),Bronx,D9,125,25,0.20,3,,0,1,No,No,No
09X361,THE HIGHBRIDGE GREEN SCHOOL (09X361),Bronx,D9,115,12,0.10,3,,0,1,No,No,No
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE (09X413),Bronx,D9,41,3,,3,,1,1,No,No,No
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL (09X454),Bronx,D9,137,40,0.29,3,,0,1,No,No,No
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE (09X505)",Bronx,D9,91,7,0.08,3,,0,1,No,No,No
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX (09X568),Bronx,D9,71,7,0.10,3,,0,1,No,No,No
09X593,SOUTH BRONX INTERNATIONAL MIDDLE SCHOOL (09X593),Bronx,D9,63,3,,3,,1,1,No,No,No
09X594,M.S. 594 (09X594),Bronx,D9,88,8,0.09,3,,0,1,No,No,No
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY (10X003),Bronx,D10,41,7,0.17,3,,0,1,No,No,No
10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING (10X015),Bronx,D10,63,27,0.43,3,,0,1,No,No,No
10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III (10X020)",Bronx,D10,114,17,0.15,3,,0,1,No,No,No
10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL (10X037),Bronx,D10,64,6,0.09,3,,0,1,No,No,No
10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45 (10X045),Bronx,D10,240,33,0.14,3,,0,1,No,No,No
10X080,J.H.S. 080 THE MOSHOLU PARKWAY (10X080),Bronx,D10,216,52,0.24,3,,0,1,No,No,No
10X095,P.S. 095 SHEILA MENCHER (10X095),Bronx,D10,140,33,0.24,3,,0,1,No,No,No
10X118,J.H.S. 118 WILLIAM W. NILES (10X118),Bronx,D10,334,146,0.44,6,0.04,0,0,No,No,No
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141) (10X141),Bronx,D10,265,86,0.32,20,0.23,0,0,No,No,No
10X206,I.S. 206 ANN MERSEREAU (10X206),Bronx,D10,96,10,0.10,3,,0,1,No,No,No
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL (10X225),Bronx,D10,52,3,,3,,1,1,No,No,No
10X228,JONAS BRONCK ACADEMY (10X228),Bronx,D10,88,49,0.56,3,,0,1,No,No,No
10X243,WEST BRONX ACADEMY FOR THE FUTURE (10X243),Bronx,D10,91,3,,3,,1,1,No,No,No
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM (10X244),Bronx,D10,252,75,0.30,3,,0,1,No,No,No
10X254,I.S. 254 (10X254),Bronx,D10,157,17,0.11,3,,0,1,No,No,No
